Calpine	GGC-5										
Depth	Q	C	P	E	Y	L	X	A	"T (Qtz,Calcite,Pyrite,Epidote,pYrhotite,chLorite,aXinite,Actinolite,Tourmaline)"		
2950	-	m	t	-	-	-	-	-	-		
2960	-	m	t	-	-	-	-	-	-		
2970	-	m	t	-	-	-	-	-	-		
2980	-	m	t	-	-	-	-	-	-		
2990	-	m	t	-	-	-	-	-	-		
3000	-	m	t	-	-	-	-	-	-		
3010	-	m	t	-	-	-	-	-	-		
3020	-	m	t	-	-	-	-	-	-		
3030	-	m	t	-	-	-	-	-	-		
3040	-	-	-	-	-	-	-	-	-		
3050	-	-	-	-	-	-	-	-	-		
3060	-	-	-	-	-	-	-	-	-		
3070	-	-	-	-	-	-	-	-	-		
3080	-	-	-	-	-	-	-	-	-		
3090	-	-	-	-	-	-	-	-	-		
3100	-	-	t	-	-	-	-	-	-		
3110	-	-	t	-	-	-	-	-	-		
3120	t	m	t	-	-	-	-	-	-		
3130	t	m	t	-	-	-	-	-	-		
3140	t	m	t	r	-	-	-	-	-		
3150	t	m	t	r	-	-	-	-	-		
3160	t	m	t	r	-	-	-	-	-		
3170	t	m	t	r	-	-	-	-	-		
3180	t	m	t	r	-	-	-	-	-		
3190	t	m	t	r	-	-	-	-	-		
3200	t	m	t	r	-	-	-	-	-		
3210	t	m	t	r	-	-	-	-	-		
3220	t	m	t	r	-	t	-	-	-		
3230	t	m	t	r	-	t	-	-	-		
3240	t	m	t	-	-	t	-	-	-		
3250	t	m	t	-	-	t	-	-	-		
3260	t	m	t	-	-	t	-	-	-		
3270	t	m	t	-	-	t	-	-	-		
3280	t	m	t	-	-	t	-	-	-		
3290	t	m	t	-	-	t	-	-	-		
3300	t	m	t	-	-	t	-	-	-		
3310	t	m	t	-	-	t	-	-	-		
3320	t	m	r	-	-	-	-	-	-		
3330	t	m	r	-	-	-	-	-	-		
3340	t	m	r	-	-	-	-	-	-		
3350	t	m	r	-	-	-	-	-	-		
3360	t	m	r	-	-	-	-	-	-		
3370	t	m	r	-	-	-	-	-	-		
3380	t	m	r	-	-	-	-	-	-		
3390	t	m	r	-	-	-	-	-	-		
3400	t	m	r	-	-	-	-	-	-		
3410	t	m	r	-	-	-	-	-	-		
3420	t	m	r	-	-	-	-	-	-		
3430	t	m	r	-	-	-	-	-	-		
3440	t	m	r	-	-	-	-	-	-		
3450	t	m	r	-	-	-	-	-	-		
3460	t	m	r	-	-	-	-	-	-		
3470	t	m	r	-	-	-	-	-	-		
3480	t	m	r	-	-	-	-	-	-		
3490	t	m	r	-	-	-	-	-	-		
3500	t	m	r	-	-	-	-	-	-		
3510	t	m	r	-	-	-	-	-	-		
3520	m	m	-	-	-	-	-	-	-		
3530	m	m	-	-	-	-	-	-	-		
3540	m	m	-	-	-	-	-	-	-		
3550	m	m	-	-	-	-	-	-	-		
3560	m	m	-	-	-	-	-	-	-		
3570	m	m	-	-	-	-	-	-	-		
3580	t	m	-	-	-	-	-	-	-		
3590	t	m	-	-	-	-	-	-	-		
3600	t	m	-	-	-	-	-	-	-		
3610	t	m	-	-	-	-	-	-	-		
3620	t	m	-	-	-	-	-	-	-		
3630	t	m	-	-	-	-	-	-	-		
3640	t	m	-	-	-	-	-	-	-		
3650	t	m	-	-	-	-	-	-	-		
3660	t	m	-	r	-	-	-	-	-		
3670	t	m	-	r	-	-	-	-	-		
3680	t	m	-	r	-	-	-	-	-		
3690	t	m	-	r	-	-	-	-	-		
3700	t	m	-	r	-	-	-	-	-		
3710	t	m	-	r	-	-	-	-	-		
3720	t	m	-	r	-	-	-	-	-		
3730	t	m	-	r	-	-	-	-	-		
3740	t	m	-	r	-	-	-	-	-		
3750	t	m	-	r	-	-	-	-	-		
3760	t	m	r	r	-	-	-	-	-		
3770	t	m	r	r	-	-	-	-	-		
3780	t	m	r	r	-	-	-	-	-		
3790	t	m	r	r	-	-	-	-	-		
3800	t	m	r	r	-	-	-	-	-		
3810	t	m	r	r	-	-	-	-	-		
3820	t	m	r	-	-	-	-	-	-		
3830	t	m	r	-	-	-	-	-	-		
3840	t	m	r	-	-	-	-	-	-		
3850	t	m	r	-	-	-	-	-	-		
3860	t	m	r	-	-	-	-	-	-		
3870	t	m	r	-	-	-	-	-	-		
3880	t	m	r	-	-	-	-	-	-		
3890	t	m	r	-	-	-	-	-	-		
3900	t	m	r	-	-	-	-	-	-		
3910	t	m	r	-	-	-	-	-	-		
3920	t	m	t	-	-	-	-	-	-		
3930	t	m	t	-	-	-	-	-	-		
3940	t	m	t	-	-	-	-	-	-		
3950	t	m	t	-	-	-	-	-	-		
3960	t	m	t	-	-	-	-	-	-		
3970	t	m	t	-	-	-	-	-	-		
3980	t	m	t	-	-	-	-	-	-		
3990	t	m	t	-	-	-	-	-	-		
4000	t	m	t	-	-	-	-	-	-		
4010	t	m	t	-	-	-	-	-	-		
4020	-	m	t	-	-	-	-	-	-		
4030	-	m	t	-	-	-	-	-	-		
4040	-	m	t	-	-	-	-	-	-		
4050	-	m	t	-	-	-	-	-	-		
4060	-	m	t	-	-	-	-	-	-		
4070	-	m	t	-	-	-	-	-	-		
4080	-	m	t	-	-	-	-	-	-		
4090	-	m	t	-	-	-	-	-	-		
4100	-	m	-	-	-	-	-	-	-		
4110	-	m	-	-	-	-	-	-	-		
4120	-	m	-	-	-	-	-	-	-		
4130	-	m	-	-	-	-	-	-	-		
4140	-	m	-	-	-	-	-	-	-		
4150	-	m	-	-	-	-	-	-	-		
4160	-	m	-	-	-	-	-	-	-		
4170	-	m	-	-	-	-	-	-	-		
4180	-	m	-	-	-	-	-	-	-		
4190	-	m	-	-	-	-	-	-	-		
4200	-	m	-	-	-	-	-	-	-		
4210	-	m	-	-	-	-	-	-	-		
4220	-	m	-	-	-	-	-	-	-		
4230	-	m	-	-	-	-	-	-	-		
4240	-	m	-	-	-	-	-	-	-		
4250	-	m	-	-	-	-	-	-	-		
4260	t	m	-	-	-	-	-	-	-		
4270	t	m	-	-	-	-	-	-	-		
4280	t	m	-	-	-	-	-	-	-		
4290	t	m	-	-	-	-	-	-	-		
4300	-	m	t	-	-	-	-	-	-		
4310	-	m	t	-	-	-	-	-	-		
4320	-	m	t	-	-	-	-	-	-		
4330	-	m	t	-	-	-	-	-	-		
4340	-	m	t	-	-	-	-	-	-		
4350	-	m	t	-	-	-	-	-	-		
4360	-	m	t	-	-	-	-	-	-		
4370	-	m	t	-	-	-	-	-	-		
4380	-	m	t	-	-	-	-	-	-		
